"","taxa_id","Kingdom","Phylum","Class","Order","Family","Genus","Species","PC1"
"134","091467493b6295c1a31ee71ccc957ddc","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","[Ruminococcus] torques group","Ruminococcus lactaris CC59_002D",-0.0620838485828342
"3555","f138e1f9019e5883aef568cdbbfcae57","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium",NA,-0.05778907279778
"3544","f0acb039a08ea5e5685480272b655731","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides fragilis",-0.0577476321425524
"1346","5f71804aa6eb0691c68a33d1811fd654","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Veillonella",NA,-0.0535096691730418
"1617","70aa1d8c1086b56a23a3b09dbbfa363b","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA,-0.0521605427279776
"3137","d67ed16da6be518fcb9fa3c0c129e2f6","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelatoclostridium",NA,-0.0516078966133111
"1853","7f7b0bc0cd89441358c9a34a30e17456","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoclostridium",NA,-0.051439927718575
"583","2707107922b86d42537c9cbdfd1cc6c0","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides dorei",-0.0514286596833773
"423","1c169d7fd4446ea26ad0c88860e3c365","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA,-0.0500647379573927
"345","173706979e153e8a80d35876d63288a3","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes",NA,-0.0498612084924047
"826","388c95fb8c02c1d9aa6c250aca89ca14","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Butyricicoccus",NA,-0.0484980825067295
"744","32b4c120a90bb9b9cd406e72645a3641","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoclostridium","[Clostridium] scindens",-0.0473208091113542
"3781","ffc044695e391717096c69ce960f3291","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Flavonifractor",NA,-0.0462069779565722
"207","0dcefd65571849dd41395e1d88748cee","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia",NA,-0.0459730607690486
"2815","bff590a6c1403a26c8ec8ba14b3df153","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoclostridium",NA,-0.0459569752070001
"3196","db84507cdf7a842b963caaa98606f103","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA,-0.0435044211789794
"2913","c7254628dc2b7d2f270c34af50bf2854","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Eggerthella",NA,-0.0429366227602642
"3767","ff2d4711da904bb636fdd69c67672824","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Hungatella",NA,-0.0428483055559396
"1299","5bfb87b61ec26b3347297c36d287f034","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella",NA,-0.0423843293020084
"1895","82918a7869f78bc9f3db9a1c0cbbc607","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","[Clostridium] innocuum group",NA,-0.0423136228066639
"2115","9117e49039103d03d1af8e9c0566648b","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Eggerthella",NA,-0.0420526597116763
"629","2a888206467aadcc1067bdab23016ec7","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Anaerostipes",NA,-0.0419043176117884
"2719","b8a2c4edec122ed451c86e9229e873e8","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Intestinimonas",NA,-0.0416217541852393
"2638","b32d05b75c7411522aa5cf9dc15851ab","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","Parabacteroides distasonis",-0.0411621973633568
"1928","85341f83dff2dc8a3afe321bb60f71e8","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","[Eubacterium] coprostanoligenes group",NA,-0.0400688236336241
"2469","a8e780457ee2bc009724bfb399477258","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","Parabacteroides distasonis",-0.039927177950713
"3188","db230861f27ea89057a9bc73d58eb571","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Sellimonas",NA,-0.038571629021289
"2481","a9a85e33b932c5a3f4070f4d85a8d156","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminiclostridium 9",NA,-0.038365294819056
"1236","56f1d84014e87ce7c66652697b429fb0","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Dorea",NA,-0.038230740512361
"3527","efb3bd11fe637d196166648021e0ce1f","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Eisenbergiella",NA,-0.0381590033219452
"1313","5d22d3686f64f35cc27cb4edd5ef0e55","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","[Ruminococcus] torques group","Ruminococcus lactaris CC59_002D",-0.0371737046572985
"2300","9d34e93c9d79172d4afb5a4d46a1e43b","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA,-0.0367288190194361
"298","13e50112ac868df78126ed79b1d79659","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia",NA,-0.0366058531004142
"30","01e252ffa9426a1ab4e658da8fd92bd9","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoclostridium",NA,-0.0357441165422969
"1555","6ce9b66bd94b21e4066db8750fd94fd4","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","Parabacteroides distasonis",-0.0356658644540029
