"","SampleID","Date","Month","Year","Individual","SampleType","NumberReads","Unit","AgeYear","AgeMonth","AgeMonth_cat","Weaned","Sex","Parity","MomRank","MomRank_cat","Season","Rain30","Rain30_cat","MinT30","MinT30_cat","ReproState","Mother","MatchedMomSample"
"LID_100039","LID_100039",2016-04-06,"4","2016","M61","Infant",546557,"D",0.109589041,1.31147540983607,"0-3","No","Male","Primiparous",0.833333333333333,"High","HotDry",64.4,"Dry",10.76551724,"Hot",NA,"F31",NA
"LID_100080","LID_100080",2015-05-14,"5","2015","F32","Infant",1295594,"G",1.917808219,22.9508196721311,">18","Yes","Female","Primiparous",0.25,"Low","HotDry",146.3,"Dry",9.755555556,"Hot",NA,"F33",NA
"LID_100105","LID_100105",2015-04-01,"4","2015","F104","Infant",757738,"M1",0.578082192,6.91803278688525,"6-9","No","Female","Multiparous",1,"High","HotDry",49.1,"Dry",9.568,"Hot",NA,"F45",NA
"LID_100125","LID_100125",2015-05-18,"5","2015","F122","Infant",938212,"N",0.202739726,2.42622950819672,"0-3","No","Female","Multiparous",1,"High","HotDry",150.8,"Dry",10.004,"Hot",NA,"F55",NA
"LID_100194","LID_100194",2015-05-13,"5","2015","M50","Infant",512049,"A",1.619178082,19.3770491803279,">18","Yes","Male","Multiparous",0,"Low","HotDry",150.8,"Dry",9.681481481,"Hot",NA,"F2",NA
"LID_100225","LID_100225",2015-02-20,"2","2015","F103","Infant",312045,"K",0.249315068,2.98360655737705,"0-3","No","Female","Multiparous",0,"Low","HotDry",2,"Dry",8.475,"Cold",NA,"F40",NA
"LID_100229","LID_100229",2016-02-22,"2","2016","F95","Infant",653688,"D",0.161643836,1.9344262295082,"0-3","No","Female","Multiparous",0,"Low","HotDry",0,"Dry",8.182142857,"Cold",NA,"F28","LID_103100"
"LID_100551","LID_100551",2015-04-03,"4","2015","M77","Infant",1011686,"T",1.638356164,19.6065573770492,">18","No","Male","Multiparous",0.5,"Med","HotDry",49.1,"Dry",9.72,"Hot",NA,"F85",NA
"LID_101556","LID_101556",2018-08-01,"8","2018","M68","Infant",1265284,"M1",0.893150685,10.6885245901639,"9-12","No","Male","Multiparous",0.857142857142857,"High","ColdWet",473.4,"Wet",8.112,"Cold",NA,"F45",NA
"LID_101558","LID_101558",2018-08-02,"8","2018","F91","Infant",473224,"C5",2.265753425,27.1147540983607,">18","Yes","Female","Multiparous",0.6,"Med","ColdWet",482.9,"Wet",8.112,"Cold",NA,"F19","LID_101557"
"LID_101560","LID_101560",2018-08-01,"8","2018","F100","Infant",298896,"K",1.805479452,21.6065573770492,">18","Yes","Female","Multiparous",0.5,"Med","ColdWet",473.4,"Wet",8.112,"Cold",NA,"F40","LID_101559"
"LID_101562","LID_101562",2018-07-14,"7","2018","M84","Infant",332165,"V",0.520547945,6.22950819672131,"6-9","No","Male","Multiparous",0.4,"Med","ColdWet",430.2,"Wet",8.16,"Cold",NA,"F75","LID_101561"
"LID_101564","LID_101564",2018-07-03,"7","2018","F96","Infant",971732,"D",2.353424658,28.1639344262295,">18","Yes","Female","Primiparous",0,"Low","ColdWet",280.8,"Wet",8.630769231,"Cold",NA,"F30","LID_101563"
"LID_101566","LID_101566",2018-07-03,"7","2018","F93","Infant",1084878,"C3",2.320547945,27.7704918032787,">18","Yes","Female","Primiparous",0.5,"Med","ColdWet",280.8,"Wet",8.630769231,"Cold",NA,"F21","LID_101565"
"LID_101569","LID_101569",2018-06-11,"6","2018","M52","Infant",52676,"C5",0.101369863,1.21311475409836,"0-3","No","Male","Multiparous",1,"High","ColdWet",205.8,"Dry",9.708695652,"Hot",NA,"F22","LID_102237"
"LID_101570","LID_101570",2018-06-16,"6","2018","F117","Infant",522479,"M2",1.369863014,16.3934426229508,"15-18","No","Female","Multiparous",0.75,"High","ColdWet",265.9,"Dry",9.233333333,"Hot",NA,"F43",NA
