"","MeanRandom","X.Intercept.","ObservedPair1","Sex1Male","s.AgeMonth1.","s.Ind1.","s.Ind2.","p..Intercept.","p.ObservedPair","p.SexM","p.s.AgeMonth","p.s.Ind1","p.s.Ind2","dev.expl","NbDyads","Type"
"jd1","397.373134328358","391.750835076633","15.0945315389767","11.8957038761836","1.00015893315101","0.00383297818400894","0.000303490938677662","4.74961374866826e-175","0.0977259836820019","0.196841325821271","0.0611708918609557","0.593812821348144","0.275103176512505","2.15673691261979","201","NumberSharedASV"
"jd2","59.344090907797","59.9234312523387","1.92841523279303","-1.2020908077769","1.00315675564454","0.00123927099577901","3.26696537040251","2.44209277325865e-188","0.122283224963722","0.347116136340585","0.0538459271140848","0.141870174988372","0.0283639344312635","3.96837712196172","201","PropSharedASV"
"jd3","0.572832587064677","0.578262621216876","-0.0273383444965677","-0.0114733016221355","1.0000276204836","2.51506787394956","0.00136324420334638","3.34689872501417e-174","0.0355010744063357","0.410438611471149","0.142917266254867","0.0427571402438747","0.0981744239361565","3.79789297831287","201","BC"
"jd4","0.500988248288698","0.503351573876639","-0.016200741447831","-0.00471303316259302","1.00004027279877","0.00247011093596568","3.3364651967172","1.16888054425784e-210","0.0740856085610504","0.61182432808774","0.0328464576938148","0.179387691991997","0.0238805884336943","4.55167273367482","201","UU"
"jd5","0.0652418475077868","0.0666918143262275","-0.00267826533355195","-0.00316899778962894","1.00003068233105","8.19898925509045","0.00126367387183793","7.38794289011568e-135","0.13170897861285","0.154605705124356","0.310401534335314","0.000810075838262536","0.602971998571562","8.6456681002895","201","WU"
"jd11","400.935323383085","391.931136571307","11.531899762167","19.0517669052332","1.00040979059383","0.000870868678055368","0.00340749119663951","1.35591196227342e-170","0.219371770503426","0.0452584883445453","0.961187446439929","0.601521720046373","0.416603859790666","1.39054404983988","201","NumberSharedASV"
"jd21","59.7687839243413","59.9137419737797","1.49456926405479","-0.226129835637224","1.00029087624987","1.94312703287888","0.0117523805410752","3.80553070988403e-186","0.233272446455272","0.864734193729966","0.937539099241252","0.055667544584504","0.134227223298492","1.78747990734835","201","PropSharedASV"
"jd31","0.56556592039801","0.571876422327926","-0.0198164427805421","-0.0138943456754598","1.00044776743741","2.07749712160778","1.96998127271215","6.46846971946694e-167","0.139936644287318","0.333538704694754","0.237826693612269","0.0493737691749185","0.03819234704174","4.24317890194429","201","BC"
"jd41","0.496517130175003","0.501119530696627","-0.0116175808243702","-0.00973802434128727","1.03984731489676","0.000532757221096294","0.00139170476271472","2.61524351569361e-212","0.20397461331972","0.292504506675759","0.426131381183661","0.305321287103303","0.187529301061554","0.95566642558953","201","UU"
"jd51","0.0650225011528312","0.0666709335437994","-0.00245889048054122","-0.00362926073652669","2.10277798796862","4.1553250213285","0.00318252117446492","1.8336638713244e-134","0.200076499223772","0.0922678660169366","0.199739963196385","0.0161585967905737","0.386770270395279","6.05915278322333","201","WU"
"jd12","400.502487562189","391.049525199909","11.9650310693922","20.0038892042593","1.00160534095028","0.0146612540295668","0.00101845783314184","9.18682381601218e-168","0.210134843046861","0.03877777930113","0.0704760833056053","0.110674086769616","0.328138344295482","2.56409847708765","201","NumberSharedASV"
"jd22","59.2283394235672","59.1417062128719","2.03242379889698","0.181837574861173","1.00042089742652","0.00292957110776649","0.160371214869059","2.09502742481383e-194","0.093103693136951","0.881823718943256","0.069304041461878","0.401590211097095","0.0705630937778352","1.67877766099073","201","PropSharedASV"
"jd32","0.570065174129353","0.584084049858553","-0.0245708521632436","-0.0300251363976466","1.00000382663591","3.13437696952878","0.000198515558613788","3.76158664612328e-173","0.0602884368663351","0.0355227027134487","0.359253526885472","0.0326056325878058","0.583086830456733","4.77590730739589","201","BC"
"jd42","0.495297164582847","0.504713862340895","-0.0103977429076066","-0.0199238683909199","1.0000607569242","0.000908154364832426","0.000536149978163485","2.81868328455976e-215","0.250007544101484","0.0297165118292657","0.0962653221585762","0.191067326354517","0.55804954347121","2.47057256617925","201","UU"
"jd52","0.0659080682096192","0.0678274850239088","-0.00334442614517083","-0.00418286579580224","1.00212401614082","3.62915220809699","0.00190891647205123","4.52252100907656e-146","0.0656833001461822","0.0373740791707654","0.0892198208621091","0.0242944021210929","0.415607269862219","5.75912799835309","201","WU"
"jd13","400.383084577114","390.905621095181","12.0843736139583","20.0531987235772","1.00009968604297","0.00119510275682415","0.00225906366727085","1.61772399813379e-163","0.218746188311396","0.044028472100069","0.438095457384273","0.371975031823038","0.353905487456879","1.67050574288373","201","NumberSharedASV"
"jd23","59.4825824676414","59.5353866386826","1.78091094636469","-0.111500314805343","1.43840687474824","0.00311288676009123","0.00674571581042079","3.78880748541092e-183","0.174227560315085","0.932964890853449","0.405884491213617","0.182171068934138","0.126829379646037","1.09807699805576","201","PropSharedASV"
"jd33","0.569450497512438","0.575566054338154","-0.0237312649865399","-0.0133190948879972","1.00001637231737","4.44158790562864","1.12742883568663","4.93674632730658e-160","0.0831218700867753","0.389514711269981","0.641418667844089","0.014018298522438","0.0470837687376154","5.35775143556885","201","BC"
