"","MeanRandom","X.Intercept.","ObservedPair1","Sex1Male","s.AgeMonth1.","s.Ind1.","s.Ind2.","p..Intercept.","p.ObservedPair","p.SexM","p.s.AgeMonth","p.s.Ind1","p.s.Ind2","dev.expl","NbDyads","Type"
"jd1","248.933823529412","232.961481136868","2.01453277474244","24.8290159764944","2.607645725228","9.52314351057198","0.00218600972982934","1.12109493487038e-46","0.882690609741105","0.156277975313362","0","0.000677379132346889","0.926248150414266","48.864684289813","136","NumberSharedASV"
"jd2","46.753712987032","46.8143310795341","0.777646609649791","-1.10612938298802","1.11077634884666","5.94368489994069","0.00260034546318332","3.93094793905631e-90","0.64269528579874","0.572269295243768","0","0.00924970394232716","0.479399797893451","24.0742716091782","136","PropSharedASV"
"jd3","0.771422794117647","0.780158752467645","-0.0043360480181497","0.000941602332484867","2.35287730602391","12.0335238532288","0.000147408093103529","2.40022018420532e-120","0.806199194900103","0.96889531509954","0","0.000139971644828152","0.955914344807228","41.4827581323884","136","BC"
"jd4","0.666758383348736","0.682624936747467","0.00298139923183539","-0.0151312674668847","3.05671151086901","12.8659609328412","0.000119681754725591","5.20120396616894e-124","0.837604847182576","0.457820267392127","0","1.77940321681724e-05","0.902431708224651","52.4319785837156","136","UU"
"jd5","0.0799655995381991","0.0829569043865471","-0.00051185769275872","-0.00383135279640637","2.49885426638066","15.2393557843894","0.000949813213575124","9.92556377732371e-79","0.85189125768686","0.350845694778125","0","2.13321384467946e-05","0.743419947471871","32.6701887932079","136","WU"
"jd11","245.566176470588","226.595939434203","5.38201966985704","31.165496683572","2.54803197010133","10.178616427913","0.00150386870132443","6.61454766818264e-44","0.694795857055898","0.0817875690948938","0","0.000175484626347533","0.906067131340306","49.0268383604919","136","NumberSharedASV"
"jd21","45.696912029998","45.2547060350601","1.83444258551678","-0.239430184369649","1.26044274206279","8.56067592865486","0.00152483899290684","9.88765764251792e-83","0.273148786237285","0.908415444151171","0","0.000826901630987642","0.33884477515497","27.3457260777624","136","PropSharedASV"
"jd31","0.774216176470588","0.787916845800937","-0.00712938973510666","-0.0131504358554968","2.33651628586413","12.2702799689477","0.000132184880733736","4.6169509689444e-125","0.673442457012851","0.571915851929115","0","3.03898686673243e-05","0.881518687170155","44.5555837045512","136","BC"
"jd41","0.672064944737888","0.693421023950399","-0.00232512483157798","-0.0278020473026545","2.93509077538299","13.1904079259777","0.000120291491768667","2.55834930976371e-128","0.868420885707381","0.161638708316372","0","2.67544327281488e-06","0.92313756937701","54.9149907867209","136","UU"
"jd51","0.0812727000639644","0.0843293925549607","-0.00180013700588392","-0.00426523318584478","2.95187894799099","16.2885468951191","0.848492534312955","3.95603754822176e-84","0.476261799859741","0.27594554819235","0","3.67743229334749e-06","0.0421835957493234","39.1692148210814","136","WU"
"jd12","250.463235294118","230.886758222746","0.484967445415752","32.4967721032046","2.63618665873595","11.316871773988","0.00243739051538985","2.30757747520027e-43","0.971888391594457","0.0792517343893369","0","5.3417259392452e-05","0.743435053583831","49.6045182659505","136","NumberSharedASV"
"jd22","46.8389614167466","46.4209205682179","0.692388958586803","-0.140435843138174","1.49370817139069","10.1870246801695","0.00209467170938045","1.65980159721464e-81","0.680222976603818","0.948633262056807","0","0.000145310800184761","0.502228459761322","28.0247518333619","136","PropSharedASV"
"jd32","0.778688970588235","0.786275423274171","-0.0116022015525444","-0.0024343828307512","2.35100757159273","12.4103028268594","4.91929991166851e-05","2.09209720086926e-125","0.489009081179122","0.916203977812782","0","5.54498980209761e-05","0.653546674667766","43.936452510047","136","BC"
"jd42","0.67104187769296","0.687048550054475","-0.0013020730028698","-0.0177448183741619","3.11200158574948","13.5833111289723","0.000159032513358584","1.21161946442402e-123","0.928075967573643","0.389643556145776","0","1.84467563935087e-06","0.826765756343805","52.906458383908","136","UU"
"jd52","0.0824190402831509","0.0847025887037896","-0.00296520857328433","-0.0037395992688795","2.38964118345598","10.0022814727757","0.00153618803925821","1.71339525625006e-90","0.284344675307122","0.297217783017418","0","0.00206719457595106","0.197518853390545","26.8212223580754","136","WU"
"jd13","241.941176470588","226.626120257981","9.00688299042703","22.2906786814636","2.72744525761121","10.7168554498155","0.00250721912916461","1.12836989080504e-44","0.501098124406266","0.207923704308165","0","6.69793136898189e-05","0.603028480091451","49.4832608608939","136","NumberSharedASV"
"jd23","45.8222032034319","45.8928804644618","1.70915949208945","-1.4917458610095","1.68724426699821","8.96663541585306","0.00136536939417702","3.88767741864435e-85","0.295747590716078","0.468356384603215","0","0.000317658459111025","0.55826710485723","26.2445290044789","136","PropSharedASV"
"jd33","0.782234558823529","0.78786574324798","-0.015147715123733","0.00333697247814352","2.39996074635879","10.1661542455731","0.000208272917241744","6.34319783617803e-130","0.371362158440023","0.879581831964201","0","0.000285397494352635","0.265210627734462","40.9588085649287","136","BC"
"jd43","0.67909054926562","0.693906923908822","-0.00935067711246183","-0.0131925913171371","3.00533339387749","13.3998346404415","0.000284187488637762","6.63838544693676e-127","0.509392451513139","0.512472128088452","0","1.9946224882883e-06","0.376680008276828","52.6644110354234","136","UU"
"jd53","0.0822417937735236","0.0843790455498489","-0.00278798043630698","-0.00197157924877892","2.44693030532671","12.662524681716","0.00162016972383823","3.61906808943044e-88","0.295403812629897","0.594290388684687","0","0.000141094344999426","0.167425368078887","30.5399087089943","136","WU"
"jd14","245.654411764706","229.210163140355","5.29470133143487","29.3527530168112","2.75329136514398","9.20798822131805","0.0021655896160533","1.15317091629022e-43","0.70940713651064","0.104816174885736","0","0.00110633386585934","0.535352818951922","44.802720249129","136","NumberSharedASV"
