"","MeanRandom","X.Intercept.","ObservedPair1","Sex1Male","s.AgeMonth1.","s.Ind1.","s.Ind2.","p..Intercept.","p.ObservedPair","p.SexM","p.s.AgeMonth","p.s.Ind1","p.s.Ind2","dev.expl","NbDyads","Type"
"jd1","343.143216080402","335.024201157985","11.7785621964533","18.7204051577192","5.41912582775654","1.25890369919246","0.00904572678294691","1.65072734507155e-271","0.104237289190697","0.0131534114422772","0","0.0423831499667698","0.563664397624413","46.5877611882629","398","NumberSharedASV"
"jd2","54.2154363048968","54.4586301220271","2.20246004716903","-0.566315374790489","3.89493430824128","0.0152578918297543","0.0102462559218545","0","0.0163316268338265","0.544694194948205","0","0.0687542694922504","0.338695638943391","26.3982172467281","398","PropSharedASV"
"jd3","0.653709673366834","0.658018686218383","-0.0262287366947528","-0.00910848249982676","4.69635749679361","4.36378212802609","0.000576237730197168","0","0.00715198783412749","0.389792493737752","0","0.0163116693667162","0.574100781239038","42.660516859272","398","BC"
"jd4","0.566624217295225","0.571350813296572","-0.0136150429003411","-0.0094478024927103","5.96833605660824","12.3019124437865","0.00126556968947513","0","0.0567383664474628","0.285740720869523","0","0.000312505244265071","0.455696252723501","54.0045244072395","398","UU"
"jd5","0.0711918144191873","0.0723615226313092","-0.00296532006576362","-0.00275077075431829","4.48989635501898","1.73364925319803","0.00670406863920489","1.32737255723604e-298","0.0361091746814119","0.0632017002445984","0","0.0378144848339828","0.150085793774577","22.80235052792","398","WU"
"jd11","340.022613065327","330.367874249671","14.8995038588325","21.3937535410199","5.38998616646869","7.39558154118133","0.00809044993138207","4.23690074232773e-255","0.0366792974770959","0.00863713585788755","0","0.00499778872434753","0.265252016000178","48.7372596486102","398","NumberSharedASV"
"jd21","53.8397026267054","53.8844825540886","2.57824105820198","-0.143263787359485","3.82772521381676","5.73391726360495","0.0102885912179039","0","0.00529212185858117","0.888778639687578","0","0.00938648904321426","0.102553538465483","27.7429877569808","398","PropSharedASV"
"jd31","0.661305904522613","0.666817893625863","-0.0338249785927016","-0.0109948866291086","4.56241965652096","7.39167950893682","0.00135997338290326","0","0.000553888137262722","0.323399247511465","0","0.00408118260404633","0.189827801881253","43.4045347860462","398","BC"
"jd41","0.571420694494127","0.577606457854815","-0.0184115406159353","-0.0126298299345915","5.56346099276781","12.5049851101163","0.00102082432287909","0","0.0108540144700675","0.159364681103674","0","0.000204797417051594","0.492658676649126","53.6664887560735","398","UU"
"jd51","0.0731242301936104","0.0744272170703889","-0.00489775804679487","-0.00321269554419959","4.96110611786584","7.36321934134229","0.00421966093528228","1.1463852488156e-286","0.000633751968773341","0.0488355227839699","0","0.00590557035729056","0.258762647558774","24.2759643776167","398","WU"
"jd12","339.979899497487","331.560975410583","14.9419445286286","19.5928368137181","5.58215022068949","0.0122616980605501","0.00963465088438371","1.88015514483262e-266","0.0435049355147347","0.00965541504731518","0","0.0974698012818173","0.255207532342582","44.6006580382604","398","NumberSharedASV"
"jd22","53.799390311478","54.0834796970206","2.61852856584633","-0.661271648998283","3.8290794802673","0.00376726870038647","0.00483245271686475","0","0.0058490643670345","0.49440943541897","0","0.23952042583754","0.187671954656849","24.2937002137224","398","PropSharedASV"
"jd32","0.656077763819095","0.659497182426639","-0.0285295350870471","-0.00779945400553576","4.55759893867176","0.000948874059146326","1.15934374028606","0","0.00445478345461259","0.447680856851802","0","0.066621590427253","0.0448778339534819","40.2576165574229","398","BC"
"jd42","0.568417598946672","0.574354642787598","-0.0154083333342237","-0.0126013919279458","5.92124898839539","8.51753743146377","0.00307038484891858","0","0.0404537308324666","0.149225953828135","0","0.00267044736186972","0.0812069704322017","50.2131316731181","398","UU"
"jd52","0.0707307523306796","0.0726104321481103","-0.00250426711458066","-0.00437502945739883","5.41502627723503","0.0075357041252682","0.00114102902979962","7.11148631336801e-304","0.0768846098296923","0.00253831883136907","0","0.150334177142704","0.277530442551507","21.1656763723916","398","WU"
"jd13","338.844221105528","333.30915621081","16.0779038864184","12.2794716056465","5.60478383713145","4.95222315128634","0.0081141856445513","7.48547609826448e-261","0.0261910837780561","0.121948402526305","0","0.0137412359320885","0.441066429792736","46.2126707103726","398","NumberSharedASV"
"jd23","53.7026243829232","54.3487675543337","2.71531030040847","-1.50599870447581","4.34996448839536","0.956368850828133","0.0198856795845201","0","0.00348932764590842","0.116854423950389","0","0.0467791085923916","0.166708876628836","25.0712011481402","398","PropSharedASV"
"jd33","0.658920477386935","0.658054707349652","-0.0314395597848829","0.00249018436818721","4.69437088867534","2.97053444253315","0.00034310319694348","0","0.00172538303461944","0.8153051042512","0","0.0252295768415813","0.696431368280814","40.3123791121531","398","BC"
"jd43","0.573198616714389","0.575348339161813","-0.0201894772154114","-0.00392718617500658","5.78959248902857","11.9092440437548","0.000972245220639227","0","0.00603937847334477","0.663624741045128","0","0.000399245153926975","0.542949260253075","51.9567141955085","398","UU"
"jd53","0.0721841812330822","0.0729168744639026","-0.00395768898994089","-0.0017053181288546","4.81997407280464","0.0043248395136276","0.00173524536838651","8.51649811681244e-298","0.00653582844091087","0.250384111263436","0","0.111092703391643","0.591005450181556","20.8051057392657","398","WU"
"jd14","341.359296482412","332.982449344818","13.5615843162034","19.4160559102163","5.58038184715623","1.2347828351623","0.0177005839729674","2.36389192775546e-271","0.0600594632754961","0.00970939357437034","0","0.0425607540324484","0.0995479966445201","45.8001931535062","398","NumberSharedASV"
"jd24","54.2179627203517","54.3959149716562","2.19993940222523","-0.392027977767843","3.67478452898464","3.00949843955249","0.00630484670200381","0","0.0160583717230682","0.686766959965386","0","0.0240654207624451","0.33037977616671","24.3870473153681","398","PropSharedASV"
"jd34","0.660320351758794","0.662089237820518","-0.0328392973643544","-0.00400151706597408","4.61387005217446","4.46469874688583","0.00150333567704576","0","0.000814460733739217","0.707222633984231","0","0.0146376269257733","0.19353078856045","40.6037638925551","398","BC"
"jd44","0.569615057590428","0.572949821474326","-0.0166056727780221","-0.00818755414737366","6.05048259451586","16.5824256236297","0.00295179083067192","0","0.019396731927982","0.389021771497102","0","7.31789594943244e-06","0.0820861860139341","54.0268096911181","398","UU"
"jd54","0.0713936882252322","0.0723387884838647","-0.00316718982338603","-0.00219971130731021","4.5266917382892","0.00284439976052721","0.00437743719712977","3.28889118114716e-302","0.0257784936557686","0.129152306909665","0","0.151542231357733","0.191248890437173","18.8192074295965","398","WU"
"jd15","338.804020100502","328.353650274349","16.0396922310181","23.2857964842069","5.69107836094451","3.95470589461717","2.45016561644808","1.15910419860962e-248","0.0303199478774853","0.00409418517005306","0","0.017959099171619","0.0304427812144858","44.4305647370577","398","NumberSharedASV"
"jd25","53.7676970671924","53.7686358408939","2.64995293027822","-0.0573908633727704","4.12033877813552","6.07795950322709","0.0510095460851675","1.38934184479182e-314","0.00530750395557552","0.956794311972952","0","0.00769097481580117","0.0667208606436946","22.95384096077","398","PropSharedASV"
"jd35","0.65739648241206","0.660213835246463","-0.0299154858093013","-0.00499016048002311","4.89770969711332","11.062437420468","0.00174673149843977","0","0.00329268145530216","0.685102863979688","0","0.000468798753112343","0.195378179809829","39.3956818361979","398","BC"
"jd45","0.571744783084108","0.576698222302763","-0.0185397125819288","-0.0105123847057614","6.12094338877977","12.9775928831952","3.67922233233726","0","0.0131049439851365","0.268600570125158","0","0.000174576002550331","0.0165814309907063","50.4202679928642","398","UU"
"jd55","0.0713103965684794","0.0725665824724025","-0.00308387099827263","-0.00313639062724287","5.22864738403198","8.55314346827847","0.00898309550294425","5.02716918685859e-279","0.0291804580317299","0.0563651923820422","0","0.00315712977958893","0.198118348305515","22.0270908935171","398","WU"
"jd16","336.633165829146","329.828354507151","18.2893645163426","15.3474991130681","5.43811909953822","7.03662087602668","0.0132978372651978","1.89361876545915e-247","0.0130137775065538","0.0661077240270158","0","0.00538283397631423","0.270159268554086","45.9202370110627","398","NumberSharedASV"
"jd26","53.4427848419376","53.8862924746303","2.97522290821262","-1.02800092849886","3.49534629265587","0.817404610318445","0.0162310376936464","0","0.00202759561804886","0.300412281019451","0","0.0478305744930634","0.136833568598389","23.968182029991","398","PropSharedASV"
"jd36","0.657714824120603","0.654413212084166","-0.0302339758234367","0.00815827373938286","4.24881210728789","2.46712081216576","0.00153750084402605","0","0.00240847005019861","0.437611529719199","0","0.0289996180917951","0.116295843701271","41.0436277967946","398","BC"
"jd46","0.56962518741874","0.570289509538425","-0.0166161004524282","-0.00133580806061207","5.56977970471948","11.5544524237467","0.00235423969296362","0","0.0266665792836105","0.884001948644889","0","0.000464849601264028","0.0743817191324179","50.7923078091622","398","UU"
"jd56","0.0723418902415248","0.0728109994026149","-0.0041154180838339","-0.00109176195553554","4.76468569189","0.00203967521943876","0.00285623302757477","4.7999478756345e-303","0.00392380947515328","0.452688881289713","0","0.170890907125479","0.367422465204872","20.1797902716867","398","WU"
"jd17","332.092964824121","327.511883603511","22.8294007760041","10.5316178914045","5.52089820210948","1.38679223920819","0.0064667214594409","7.08914535315024e-268","0.00149939883929609","0.158845122183889","0","0.0411578354598175","0.388618288791758","45.8799110251349","398","NumberSharedASV"
"jd27","52.827990095086","53.3839387504546","3.59992626702005","-1.45472712609264","3.60515671881949","1.55215451150349","4.00325023813977","0","9.63611293497117e-05","0.136576882843482","0","0.038080774736333","0.0198642324907703","26.0555008477224","398","PropSharedASV"
"jd37","0.662599371859297","0.664472328866082","-0.0351184819140663","-0.00435858392960313","4.42731648310477","0.000971318209103143","0.0013836365425208","0","0.000436111354890483","0.66784074842406","0","0.0889486676022506","0.164211229800061","40.1178291557633","398","BC"
"jd47","0.5743392537562","0.576906670912261","-0.0213301456253586","-0.00481798871288184","5.86702818626662","13.7169668810603","0.00107341953796208","0","0.00315892973001475","0.598852180362518","0","9.91339354563525e-05","0.349337890741451","52.948142701617","398","UU"
"jd57","0.0723266134736543","0.0732820237803206","-0.004100160452674","-0.00222359574281274","4.29230689260993","0.000910343805638539","0.00499277682215697","3.82048313550351e-302","0.00444046118919244","0.130089045956261","0","0.104048045236889","0.258220252229585","19.5388942362158","398","WU"
"jd18","340.713567839196","332.412727067229","14.2087022126686","19.3164239305414","5.43045247077789","0.0263467258357598","0.00988790702266309","3.50370706935078e-264","0.0575563421793839","0.0116190005108082","0","0.0690716442642665","0.363175870135922","44.3970268491078","398","NumberSharedASV"
"jd28","53.776047555866","53.9364758159579","2.64191283527635","-0.373652384640385","4.10841737990327","0.000997663194002715","0.00921837351640095","0","0.00514981465917614","0.697688310230745","0","0.151475187066834","0.352106492441854","24.4596213716525","398","PropSharedASV"
"jd38","0.657665829145729","0.664809924286189","-0.0301849343244475","-0.0166274927117682","4.61452220297405","0.00013706230915688","0.00110175988552152","0","0.00271455790623588","0.105132862755223","0","0.119824751265729","0.45659447771665","39.9626434457458","398","BC"
"jd48","0.567409397289702","0.57454032759763","-0.0144002934320003","-0.0157611685834901","5.69511566799952","12.1921442608716","0.000649737392725152","0","0.0543686598872885","0.0885977776833091","0","0.000298491005188972","0.514071715061915","50.352125693446","398","UU"
"jd58","0.0718950350386464","0.0734309471813438","-0.00366853915918563","-0.00357484362196572","4.49213778453643","0.00259815797139243","0.00152134021184371","1.96904785025746e-307","0.00960604531209747","0.013456405913385","0","0.197722795441838","0.218412449885572","22.6881769333848","398","WU"
"jd19","338.394472361809","331.682043074571","16.539005577825","14.4288636836936","5.54777617303604","3.88359801764397","2.81701868047697","2.17514718037407e-253","0.0244040722475834","0.0727210931947826","0","0.01847576245611","0.0265068148943455","45.6211406793065","398","NumberSharedASV"
"jd29","53.6255021671739","54.1987436949594","2.79249885621374","-1.33468926607916","3.79605468299229","0.00224192245968783","0.0102017698323251","0","0.00309354911116078","0.165135478248664","0","0.130858838064169","0.102101729168542","22.4024207017582","398","PropSharedASV"
"jd39","0.663075251256281","0.66550647160308","-0.0355943071307083","-0.00482764238268255","4.59473899241621","4.10258849283035","0.0012177339942866","0","0.000371609041841091","0.654782277295212","0","0.0167782562358925","0.124230854241949","40.1734099779697","398","BC"
"jd49","0.572003377226411","0.575257476782082","-0.0189941802258245","-0.00680578790560805","5.79733836590429","10.0080791417459","0.00179442559161151","0","0.012184552798567","0.450164008982015","0","0.00119141925148392","0.107544710318898","49.3634075842833","398","UU"
"jd59","0.0724374167552694","0.0736563434659769","-0.00421056019903533","-0.00280776142202128","4.47391301634075","0.0154081268948405","0.647251865936608","4.84898280717508e-305","0.00318409962770942","0.0544990392827101","0","0.0634879278662847","0.0544765918802714","18.7849441316938","398","WU"
"jd110","336.286432160804","328.165092766338","18.6352994739769","18.687001159477","5.60150352280666","4.91339249156086","0.0156194318741064","2.42308043063548e-254","0.0107252855774132","0.0197727443987557","0","0.0137191068597569","0.184013793058419","45.170258448377","398","NumberSharedASV"
"jd210","53.3754949816218","53.6175746272507","3.03906225663581","-0.528718828889566","4.34601408610478","4.92315384883673","0.502165001162107","9.15009576097989e-321","0.00118475067762604","0.606779627576535","0","0.0139324493561926","0.0539802417517719","25.0907847457429","398","PropSharedASV"
"jd310","0.655166708542714","0.659642133011516","-0.0276857851235035","-0.00984720932882731","4.68059050222735","3.45763305585431","0.00131953968441632","0","0.00590838292224249","0.360766295900842","0","0.0215158903754578","0.139513432675658","39.0259594540881","398","BC"
"jd410","0.570371054849518","0.574584365904487","-0.0173618261961355","-0.00953225322480327","6.01871124715567","12.7361861202405","0.00255363749366148","0","0.0182304335063939","0.298687469242041","0","0.000329876104980809","0.0895972580703244","50.7461661159156","398","UU"
